DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.90721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.66861,-1.19391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.90375,0.29942,-0.27432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.50061,0.31932,-0.07459,-0.52026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.77637,0.20863,0.55536,0.28527,-0.06597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.99997,-0.0468,-0.34167,-0.00684,-0.24671,-0.48893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.18182,-0.8805,-0.16667,-0.41043,-0.0882,-0.3034,-0.52146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.84617,0.43036,-0.39769,0.05484,-0.17388,0.10003,-0.08481,-0.2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.71602,-0.01761,-0.09917,-0.69299,-0.20858,-0.41052,-0.10438,-0.26566,-0.44725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-1.08943,-1.19028,-0.73493,-0.75213,-1.10393,-0.67165,-0.82153,-0.53217,-0.6596,-0.81057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.31676,-1.54001,-1.64632,-1.17635,-1.19907,-1.44509,-0.99542,-1.12856,-0.84737,-0.95521,-1.08229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.34295,0.27531,-0.8023,-1.04194,-0.63218,-0.65219,-1.01342,-0.61468,-0.77624,-0.50043,-0.6261,-0.76343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.62438,1.63336,1.13638,0.30512,-0.143,0.11063,0.08829,-0.40991,-0.11674,-0.27219,-0.02684,-0.15444,-0.3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.31546,1.49875,1.60269,1.11023,0.28363,-0.10733,0.14491,0.11116,-0.39137,-0.12092,-0.27035,-0.03107,-0.14754,-0.29933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.56992,0.4621,1.33872,1.51106,1.06325,0.31842,-0.05424,0.19119,0.16658,-0.29246,-0.05124,-0.19842,0.05067,-0.06584,-0.22807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,1.16557,1.05487,0.94166,1.5282,1.64406,1.31556,0.76505,0.34157,0.55356,0.4862,0.01336,0.23521,0.07509,0.30436,0.18764,0.01164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.99583,1.36393,1.2144,1.18914,1.68901,1.787,1.48879,1.09532,0.70425,0.85529,0.76682,0.3167,0.50329,0.32784,0.54167,0.42429,0.23728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.32832,0.80906,1.09781,1.06771,1.07731,1.48053,1.58012,1.33016,1.03821,0.69487,0.80962,0.73528,0.38191,0.54546,0.38702,0.56121,0.45412,0.29299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.18891,0.11391,0.63359,0.97139,0.9496,0.97078,1.36603,1.47854,1.22574,0.91992,0.60764,0.71594,0.65645,0.32525,0.4761,0.33297,0.49724,0.39866,0.25276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,1.26731,0.80567,0.59819,0.9195,1.20944,1.1802,1.21332,1.53417,1.59512,1.36883,1.10648,0.8306,0.91775,0.8458,0.53268,0.67314,0.55182,0.69247,0.59339,0.45003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.23097,1.46113,1.28106,1.12182,1.27038,1.44471,1.39217,1.4015,1.62081,1.64506,1.48659,1.30383,1.09945,1.15636,1.08772,0.82099,0.92559,0.83065,0.93611,0.85366,0.71814,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.78254,1.15331,1.43169,1.31752,1.20258,1.34072,1.51668,1.47034,1.47809,1.69241,1.71535,1.55427,1.38545,1.19635,1.25153,1.17754,0.92933,1.03126,0.94584,1.02414,0.94173,0.81255,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.84882,0.13923,0.80887,1.12678,1.04052,0.96454,1.1404,1.35291,1.32799,1.33373,1.56795,1.60263,1.42658,1.22827,1.04198,1.09795,1.03302,0.77929,0.90389,0.80512,0.90426,0.81451,0.67693,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.77131,-0.18019,0.45325,1.00216,1.28633,1.18198,1.084,1.24289,1.44729,1.42506,1.42768,1.62316,1.64224,1.47745,1.30922,1.122,1.16721,1.09991,0.85262,0.96877,0.8766,0.96554,0.88252,0.75302,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.18993,0.48213,-0.1491,0.36228,0.87359,1.15278,1.0768,0.98775,1.14985,1.35739,1.34673,1.34963,1.54657,1.56619,1.40793,1.24564,1.0614,1.10694,1.04473,0.80167,0.91796,0.82587,0.91937,0.83883,0.71515,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.76858,-0.53648,0.01519,-0.51234,-0.00528,0.65538,0.97378,0.90818,0.81975,1.01425,1.24996,1.25302,1.2522,1.48102,1.51687,1.33901,1.1591,0.96359,1.01498,0.95331,0.70285,0.82198,0.72816,0.83378,0.74645,0.62098,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.50944,-0.10032,-0.22457,0.10656,-0.29145,0.02241,0.6528,0.9951,0.92684,0.85023,1.07453,1.31937,1.30719,1.31086,1.54878,1.59188,1.39407,1.22153,1.02286,1.06623,0.99878,0.75833,0.87151,0.78504,0.88457,0.80335,0.68166,,,,,,,,,,,,,,,,,,,,,
Apr1952,0.13743,0.34122,-0.09311,-0.1967,0.06693,-0.30784,0.01094,0.57757,0.931,0.84402,0.7805,1.0051,1.27335,1.27748,1.28774,1.53017,1.5952,1.37164,1.1855,0.99266,1.03807,0.97572,0.73873,0.8507,0.76565,0.86765,0.78745,0.66343,,,,,,,,,,,,,,,,,,,,
May1952,-0.51418,-0.51016,-0.20406,-0.46212,-0.51178,-0.25076,-0.5365,-0.25897,0.24269,0.6031,0.5307,0.50511,0.76839,1.06374,1.07734,1.10461,1.39373,1.4854,1.25168,1.04443,0.84445,0.90302,0.83904,0.59072,0.71633,0.6409,0.75244,0.67269,0.54874,,,,,,,,,,,,,,,,,,,
Jun1952,-1.23374,-1.15941,-1.03177,-0.7497,-0.95184,-0.94082,-0.66503,-0.90625,-0.66081,-0.18647,0.14776,0.11489,0.1392,0.39734,0.63136,0.69566,0.71847,0.99994,1.1316,0.9422,0.74331,0.56516,0.62151,0.56637,0.32524,0.44496,0.37105,0.49715,0.42289,0.30113,,,,,,,,,,,,,,,,,,
Jul1952,1.46548,-0.10913,-0.41553,-0.41107,-0.2647,-0.49614,-0.49749,-0.27165,-0.49715,-0.22711,0.17742,0.44553,0.39991,0.39693,0.61377,0.83037,0.86908,0.88685,1.12826,1.23003,1.05705,0.8845,0.71662,0.76225,0.70843,0.48086,0.59024,0.52105,0.63287,0.56501,0.4472,,,,,,,,,,,,,,,,,
Aug1952,0.70558,1.2391,0.09159,-0.2061,-0.23029,-0.10522,-0.30721,-0.2975,-0.10564,-0.31082,-0.06913,0.27601,0.51696,0.46651,0.46261,0.6735,0.88885,0.92042,0.93046,1.15923,1.25968,1.09301,0.92701,0.76875,0.81055,0.75621,0.53872,0.64169,0.57066,0.67499,0.60912,0.49717,,,,,,,,,,,,,,,,
Sep1952,0.0158,0.3369,0.85374,0.06413,-0.18936,-0.21787,-0.07857,-0.25931,-0.26349,-0.09145,-0.2902,-0.07305,0.25433,0.46963,0.43341,0.43459,0.62132,0.81442,0.85926,0.87515,1.09376,1.20756,1.04912,0.88555,0.74183,0.78065,0.72886,0.51683,0.60678,0.53875,0.63647,0.57218,0.46228,,,,,,,,,,,,,,,
Oct1952,-0.90588,-0.66294,-0.33611,0.20491,-0.41469,-0.59212,-0.59797,-0.45145,-0.59926,-0.59786,-0.42288,-0.59989,-0.39917,-0.05347,0.1728,0.14271,0.16259,0.37294,0.55631,0.61276,0.62495,0.86575,1.00798,0.84452,0.66525,0.51637,0.56785,0.52523,0.31463,0.40597,0.3347,0.44339,0.37796,0.26985,,,,,,,,,,,,,,
Nov1952,-0.77241,-1.21413,-0.99692,-0.68325,-0.14722,-0.71121,-0.82338,-0.8258,-0.67488,-0.8086,-0.79449,-0.60553,-0.77744,-0.58016,-0.22872,0.00743,-0.01497,5e-04,0.22728,0.40746,0.47665,0.48562,0.74157,0.90037,0.72984,0.53664,0.38522,0.44491,0.40462,0.20162,0.30367,0.23325,0.34956,0.27955,0.16771,,,,,,,,,,,,,
Dec1952,-0.79627,-1.42027,-1.73149,-1.4274,-1.02665,-0.45848,-0.93846,-1.02375,-1.03017,-0.88282,-1.00566,-0.97065,-0.75514,-0.93568,-0.75092,-0.37314,-0.12168,-0.14311,-0.13415,0.09229,0.27424,0.35756,0.37045,0.6282,0.79646,0.63171,0.4356,0.27289,0.33501,0.30325,0.10556,0.20707,0.13665,0.26004,0.1887,0.08046,,,,,,,,,,,,
Jan1953,-0.76446,-1.00715,-1.44204,-1.853,-1.61302,-1.23014,-0.69099,-1.10787,-1.15637,-1.16116,-1.01005,-1.12103,-1.08275,-0.85789,-1.03063,-0.8586,-0.50007,-0.25508,-0.27487,-0.26056,-0.03941,0.1393,0.2285,0.24221,0.50673,0.68667,0.52141,0.32303,0.16005,0.22816,0.19815,0.0012,0.10958,0.03825,0.17185,0.09978,-0.01199,,,,,,,,,,,
Feb1953,-0.62035,-1.07668,-1.19438,-1.54894,-1.83201,-1.73557,-1.37449,-0.8843,-1.23228,-1.25298,-1.25564,-1.12031,-1.2166,-1.18304,-0.96737,-1.12371,-0.96322,-0.60804,-0.36112,-0.37511,-0.35431,-0.13711,0.04083,0.13201,0.14499,0.41995,0.61192,0.44375,0.23971,0.0837,0.15512,0.13071,-0.06407,0.04846,-0.02732,0.10728,0.03499,-0.0754,,,,,,,,,,
Mar1953,-0.49442,-0.72777,-1.10684,-1.19742,-1.47502,-1.71765,-1.68001,-1.43883,-1.05692,-1.3234,-1.36293,-1.37386,-1.25187,-1.3507,-1.32427,-1.11125,-1.25118,-1.12528,-0.73063,-0.465,-0.47924,-0.44085,-0.2146,-0.03523,0.05792,0.07121,0.34564,0.53791,0.37325,0.15911,0.00626,0.08132,0.05892,-0.13082,-0.01341,-0.08676,0.04734,-0.02403,-0.1325,,,,,,,,,
Apr1953,-0.49523,-0.77912,-0.91096,-1.21064,-1.29873,-1.54032,-1.8371,-1.77317,-1.56796,-1.19577,-1.41558,-1.43692,-1.45542,-1.35995,-1.45773,-1.41292,-1.21562,-1.33347,-1.22484,-0.84355,-0.57689,-0.58584,-0.55148,-0.33128,-0.1434,-0.04168,-0.02316,0.24928,0.44794,0.28388,0.06894,-0.08352,-0.00538,-0.02404,-0.21511,-0.09261,-0.16623,-0.0282,-0.09982,-0.20976,,,,,,,,
May1953,-2.05851,-1.81688,-1.74173,-1.74742,-1.84851,-1.82787,-2.00714,-2.25021,-2.10869,-1.89853,-1.6496,-1.75901,-1.74944,-1.74244,-1.69397,-1.77327,-1.72399,-1.57697,-1.67842,-1.61898,-1.30006,-1.03053,-1.02211,-0.96333,-0.75128,-0.56728,-0.46084,-0.43676,-0.15681,0.06319,-0.09949,-0.3356,-0.47407,-0.37233,-0.38425,-0.55142,-0.42226,-0.49696,-0.35176,-0.42136,-0.52234,,,,,,,
Jun1953,2.0412,0.84763,0.52306,0.20504,-0.02703,-0.25539,-0.44084,-0.67197,-1.15559,-1.14314,-0.93381,-0.5819,-0.89471,-1.00425,-1.0353,-0.91461,-1.01149,-0.98648,-0.8168,-0.93831,-0.78961,-0.46278,-0.25166,-0.28253,-0.26458,-0.07104,0.12438,0.20261,0.22247,0.45967,0.61707,0.45695,0.26234,0.12326,0.19415,0.16386,-0.0172,0.09502,0.02908,0.15532,0.09151,-0.00887,,,,,,
Jul1953,0.37554,1.95671,0.82355,0.54619,0.24839,0.04238,-0.1755,-0.35263,-0.5616,-0.97595,-0.98692,-0.80508,-0.47465,-0.78073,-0.8965,-0.92321,-0.80889,-0.90269,-0.88262,-0.72343,-0.84348,-0.70136,-0.39373,-0.19831,-0.22932,-0.21686,-0.03095,0.15246,0.22814,0.24594,0.46663,0.62133,0.46829,0.2823,0.14607,0.21073,0.18327,0.01117,0.11748,0.05697,0.17933,0.11786,0.02271,,,,,
Aug1953,-0.52235,-0.21525,1.64983,0.47314,0.22518,0.0106,-0.16348,-0.32787,-0.4677,-0.65454,-1.03248,-1.04357,-0.87545,-0.5783,-0.84435,-0.95007,-0.97787,-0.86563,-0.94912,-0.93181,-0.77907,-0.89187,-0.76739,-0.46928,-0.27471,-0.303,-0.28495,-0.10598,0.0659,0.14267,0.15734,0.37508,0.53741,0.38785,0.20616,0.07486,0.13781,0.11114,-0.0491,0.05302,-0.00269,0.1162,0.0552,-0.03575,,,,
Sep1953,-0.64157,-0.8465,-0.56505,1.11922,0.20327,-0.01776,-0.16838,-0.31917,-0.48021,-0.60209,-0.79601,-1.19588,-1.19001,-0.99848,-0.70229,-0.95853,-1.05413,-1.08777,-0.98684,-1.07793,-1.06008,-0.90779,-1.01761,-0.88818,-0.57971,-0.37733,-0.39959,-0.37193,-0.19776,-0.035,0.03641,0.04759,0.25974,0.425,0.27515,0.1003,-0.02051,0.0467,0.02483,-0.12537,-0.02068,-0.07859,0.03821,-0.02087,-0.109,,,
Oct1953,0.68549,0.0882,-0.16368,-0.05239,1.15949,0.37034,0.17894,0.03256,-0.1029,-0.26399,-0.40496,-0.5694,-0.92492,-0.94929,-0.79463,-0.51885,-0.78094,-0.88432,-0.92173,-0.81292,-0.89956,-0.8979,-0.75682,-0.85869,-0.72658,-0.44165,-0.26476,-0.28711,-0.26689,-0.10829,0.04574,0.11416,0.12873,0.33151,0.47583,0.32846,0.1679,0.04805,0.1063,0.08175,-0.06469,0.03732,-0.02068,0.08884,0.03477,-0.05239,,
Nov1953,-1.56419,-0.2337,-0.53108,-0.74808,-0.61275,0.78463,-0.0304,-0.20733,-0.32609,-0.45056,-0.59134,-0.70123,-0.86275,-1.19731,-1.21511,-1.03727,-0.76757,-1.00954,-1.11229,-1.14103,-1.04335,-1.12059,-1.10975,-0.97217,-1.06443,-0.93889,-0.65977,-0.47448,-0.49015,-0.45417,-0.28579,-0.12891,-0.05431,-0.04032,0.16733,0.31525,0.1655,-0.00117,-0.1186,-0.05303,-0.07154,-0.21726,-0.11345,-0.17191,-0.05732,-0.11389,-0.19904,
Dec1953,1.58319,0.52606,0.79395,0.26611,-0.01319,0.10312,1.23841,0.47328,0.29952,0.14534,0.01027,-0.14044,-0.2808,-0.4366,-0.78564,-0.82389,-0.67207,-0.40388,-0.68833,-0.80036,-0.83631,-0.72907,-0.81903,-0.81936,-0.6823,-0.78354,-0.64359,-0.37913,-0.21176,-0.23172,-0.21018,-0.05209,0.10568,0.17786,0.18886,0.38886,0.52252,0.3768,0.21272,0.09485,0.15127,0.12675,-0.02344,0.07626,0.02068,0.12796,0.07332,-0.01446
Jan1954,-0.19317,1.01541,0.1988,0.52911,0.09229,-0.15274,-0.01677,1.07537,0.33296,0.17664,0.04258,-0.07819,-0.21906,-0.33926,-0.48764,-0.82036,-0.86026,-0.72095,-0.46782,-0.74002,-0.85619,-0.8857,-0.787,-0.87773,-0.88257,-0.75307,-0.84353,-0.71282,-0.45195,-0.28141,-0.30165,-0.27936,-0.11474,0.04722,0.12702,0.1391,0.33977,0.4741,0.32983,0.15863,0.03388,0.09008,0.06538,-0.0881,0.01413,-0.04174,0.06918,0.01259
Feb1954,-0.11433,-0.34479,0.81976,0.06796,0.37351,0,-0.22331,-0.10036,1.028,0.24925,0.09402,-0.0362,-0.1449,-0.28128,-0.3942,-0.53481,-0.85171,-0.89004,-0.75405,-0.50362,-0.7683,-0.88068,-0.91549,-0.82227,-0.90829,-0.91296,-0.78768,-0.87428,-0.74143,-0.47875,-0.30788,-0.32368,-0.29924,-0.13246,0.02565,0.10466,0.11664,0.31767,0.45347,0.30921,0.13815,0.01689,0.07368,0.04989,-0.1047,-0.00429,-0.05996,0.05035
Mar1954,1.55348,1.18778,0.89132,1.37354,0.85052,1.07085,0.61022,0.38735,0.4832,1.4483,0.72633,0.56819,0.42289,0.30987,0.15124,-0.01052,-0.15047,-0.43507,-0.48574,-0.37539,-0.13774,-0.42162,-0.5429,-0.5816,-0.48749,-0.58855,-0.6022,-0.48052,-0.5781,-0.43158,-0.17682,-0.01699,-0.0379,-0.0247,0.13443,0.28997,0.35566,0.3672,0.54982,0.66555,0.52597,0.36922,0.25133,0.29839,0.2725,0.11086,0.20609,0.15018
Apr1954,0.32581,1.25192,1.01587,0.78615,1.23726,0.78335,1.00952,0.59751,0.38951,0.45457,1.44286,0.70814,0.55267,0.41351,0.30343,0.13772,-0.02229,-0.1542,-0.41704,-0.45683,-0.3549,-0.11894,-0.41107,-0.53728,-0.567,-0.46899,-0.56603,-0.58126,-0.46045,-0.56036,-0.41566,-0.16333,-0.00505,-0.0244,-0.01588,0.14606,0.30294,0.36936,0.38197,0.56185,0.67474,0.53227,0.37115,0.25501,0.30146,0.27687,0.11812,0.21634
May1954,0.87017,0.71081,1.3043,1.18001,1.00628,1.36917,0.98887,1.23683,0.88338,0.6328,0.67694,1.64428,0.91911,0.75836,0.59895,0.48886,0.31384,0.16161,0.02512,-0.22181,-0.26755,-0.17796,0.03848,-0.24782,-0.36711,-0.37869,-0.28556,-0.3822,-0.40451,-0.29643,-0.4043,-0.26626,-0.0191,0.13554,0.11087,0.11283,0.26945,0.41779,0.48066,0.49523,0.66665,0.76718,0.631,0.47407,0.36179,0.40617,0.37778,0.21813
Jun1954,0.70685,0.9402,0.86646,1.28707,1.22851,1.07523,1.35784,1.05512,1.27307,0.97959,0.77124,0.79168,1.52597,0.9978,0.87204,0.72151,0.62142,0.4683,0.32455,0.18901,-0.02561,-0.07203,-0.00799,0.17821,-0.09726,-0.22012,-0.22254,-0.14445,-0.23551,-0.25839,-0.16845,-0.28069,-0.14652,0.08421,0.22674,0.19502,0.19605,0.34065,0.47879,0.53412,0.54602,0.7064,0.80666,0.68389,0.53737,0.42998,0.46981,0.44049
Jul1954,1.28119,1.05056,1.16972,1.10798,1.45891,1.43352,1.26727,1.48582,1.20363,1.37443,1.12349,0.94411,0.95173,1.58279,1.11466,1.00485,0.85842,0.76737,0.62451,0.47697,0.34553,0.1565,0.10646,0.15624,0.3238,0.05815,-0.05824,-0.0599,0.01311,-0.07417,-0.10327,-0.01939,-0.12897,0.00039,0.2099,0.337,0.30611,0.30486,0.4375,0.57046,0.61949,0.63074,0.78106,0.87221,0.75598,0.61756,0.51846,0.55316
Aug1954,-0.10019,0.62794,0.73792,0.95004,0.91541,1.32095,1.28348,1.1234,1.35029,1.08228,1.253,1.00954,0.83104,0.84365,1.48662,1.02346,0.9194,0.78601,0.69284,0.55891,0.4302,0.30226,0.10744,0.06877,0.11987,0.28118,0.02783,-0.08477,-0.09085,-0.01879,-0.10532,-0.1339,-0.04538,-0.15383,-0.02355,0.17889,0.3009,0.26976,0.27256,0.40156,0.53464,0.58192,0.59219,0.74193,0.83247,0.72013,0.58181,0.48646
Sep1954,-0.59602,-0.5665,0.1154,0.3583,0.64706,0.62062,1.02414,0.96859,0.85797,1.08999,0.86336,1.02216,0.79522,0.63143,0.66233,1.26001,0.83797,0.73746,0.6361,0.55219,0.4275,0.3166,0.19555,-0.00058,-0.02985,0.02331,0.1866,-0.05894,-0.17136,-0.18172,-0.1158,-0.20382,-0.23189,-0.14018,-0.24734,-0.11769,0.08593,0.21013,0.18412,0.192,0.32416,0.45029,0.49991,0.51055,0.6568,0.74804,0.63991,0.50258
Oct1954,-1.41907,-1.33903,-1.34964,-0.74671,-0.36533,-0.00155,0.01525,0.51977,0.46424,0.36078,0.67155,0.44012,0.61784,0.37535,0.21945,0.26514,0.93543,0.49768,0.37602,0.28697,0.19766,0.07556,-0.01858,-0.12751,-0.3305,-0.35191,-0.28302,-0.10726,-0.33055,-0.43269,-0.44732,-0.37923,-0.45862,-0.48005,-0.39914,-0.48963,-0.36696,-0.16758,-0.03933,-0.06104,-0.04177,0.09673,0.22286,0.28072,0.29391,0.44665,0.5495,0.44124
Nov1954,-0.81166,-1.56585,-1.614,-1.53094,-1.05732,-0.67374,-0.266,-0.2374,0.30665,0.2529,0.15656,0.5124,0.26777,0.4278,0.19815,0.04869,0.10295,0.78973,0.35119,0.21707,0.13285,0.03632,-0.08567,-0.17396,-0.27816,-0.47881,-0.49785,-0.42246,-0.24326,-0.45368,-0.54913,-0.56416,-0.49509,-0.57289,-0.59442,-0.51501,-0.6018,-0.48097,-0.27908,-0.14525,-0.16217,-0.14313,-0.00331,0.12459,0.18672,0.1981,0.35573,0.458
Dec1954,-0.6961,-1.38371,-2.05016,-2.01494,-1.81535,-1.34831,-0.88176,-0.45419,-0.41929,0.14193,0.09183,0.01251,0.39164,0.14745,0.31142,0.07291,-0.06798,-0.01335,0.67027,0.22701,0.09668,0.02732,-0.06249,-0.17759,-0.25925,-0.36189,-0.5672,-0.59015,-0.51185,-0.33132,-0.53399,-0.62541,-0.6396,-0.56897,-0.64768,-0.66482,-0.58461,-0.66507,-0.55047,-0.35048,-0.21497,-0.23216,-0.20914,-0.0682,0.06075,0.12459,0.1363,0.29384
Jan1955,0.72455,-0.03213,-0.64713,-1.57702,-1.67836,-1.58452,-1.15049,-0.73051,-0.35074,-0.31233,0.21755,0.17504,0.09471,0.44479,0.21619,0.37357,0.13648,-0.00459,0.04155,0.69731,0.26812,0.14401,0.07259,-0.01643,-0.1303,-0.21717,-0.31602,-0.5221,-0.55417,-0.48005,-0.29956,-0.5123,-0.60775,-0.62445,-0.54248,-0.62394,-0.64347,-0.56549,-0.64854,-0.53387,-0.33334,-0.19929,-0.21942,-0.1986,-0.0563,0.07503,0.139,0.14976
Feb1955,0.77203,0.88545,0.23306,-0.2835,-1.20256,-1.38325,-1.34057,-0.92473,-0.59164,-0.25527,-0.21666,0.29785,0.26155,0.17803,0.51776,0.28712,0.45414,0.21903,0.07455,0.11857,0.76823,0.33573,0.21589,0.13694,0.04624,-0.06637,-0.15535,-0.25516,-0.45282,-0.48223,-0.41157,-0.22947,-0.44369,-0.54001,-0.55593,-0.47449,-0.55552,-0.57623,-0.49973,-0.58615,-0.46954,-0.27008,-0.13943,-0.15961,-0.14498,-0.00648,0.12331,0.18451
Mar1955,-0.27707,0.14795,0.30023,-0.08686,-0.46578,-1.23092,-1.37914,-1.36302,-1.03401,-0.70947,-0.39553,-0.35534,0.18126,0.15049,0.0675,0.42521,0.18241,0.37165,0.15383,0.00998,0.04896,0.70775,0.28547,0.16778,0.0912,0.00045,-0.11497,-0.20919,-0.30672,-0.51097,-0.53831,-0.46035,-0.27625,-0.48444,-0.57653,-0.58933,-0.51014,-0.5911,-0.60754,-0.53058,-0.61622,-0.49965,-0.30377,-0.17204,-0.19006,-0.17716,-0.03827,0.08812
Apr1955,-1.99342,-1.52087,-0.77882,-0.55058,-0.74083,-1.05645,-1.64335,-1.75492,-1.74235,-1.44022,-1.09803,-0.7661,-0.74682,-0.22735,-0.2499,-0.31836,0.08068,-0.15536,0.03378,-0.15895,-0.28798,-0.23337,0.45288,0.0119,-0.10241,-0.16562,-0.25053,-0.36465,-0.44881,-0.54116,-0.75168,-0.77608,-0.68652,-0.49627,-0.6936,-0.78117,-0.79741,-0.72005,-0.80068,-0.80978,-0.72972,-0.80388,-0.69033,-0.49141,-0.35243,-0.36692,-0.34378,-0.19868
May1955,-1.14471,-1.75475,-1.61015,-1.2519,-1.05557,-1.12948,-1.35984,-1.86026,-1.90384,-1.83088,-1.6114,-1.33345,-1.05384,-1.04554,-0.58483,-0.61005,-0.6582,-0.24774,-0.46668,-0.31034,-0.48371,-0.57957,-0.51987,0.17391,-0.25254,-0.34907,-0.40716,-0.48665,-0.59661,-0.67695,-0.76411,-0.97235,-0.9902,-0.88723,-0.70016,-0.8731,-0.95171,-0.96483,-0.89088,-0.96823,-0.97218,-0.8965,-0.96274,-0.85693,-0.66579,-0.52104,-0.53276,-0.50132
Jun1955,0.50358,-0.40377,-1.13671,-1.12819,-0.90454,-0.73383,-0.85578,-1.08269,-1.74009,-1.75174,-1.66733,-1.40438,-1.1483,-0.87734,-0.87912,-0.4213,-0.44393,-0.49136,-0.10448,-0.32563,-0.16657,-0.33328,-0.44154,-0.39674,0.24311,-0.16111,-0.24381,-0.30593,-0.38219,-0.4867,-0.57154,-0.66362,-0.86767,-0.88877,-0.79075,-0.61266,-0.78343,-0.85617,-0.8659,-0.78894,-0.86314,-0.87061,-0.78824,-0.85722,-0.75168,-0.57191,-0.43722,-0.45182
Jul1955,0.14105,0.40221,-0.3627,-1.00562,-1.01852,-0.83928,-0.67253,-0.78383,-0.98912,-1.57544,-1.63586,-1.56417,-1.30837,-1.05982,-0.80832,-0.8037,-0.37306,-0.39384,-0.43945,-0.08065,-0.29351,-0.14316,-0.3022,-0.40603,-0.36478,0.2382,-0.14157,-0.22121,-0.27808,-0.35265,-0.45633,-0.53497,-0.62272,-0.81603,-0.83617,-0.74639,-0.57805,-0.7442,-0.81341,-0.82378,-0.74768,-0.81969,-0.82664,-0.74866,-0.81686,-0.71577,-0.54291,-0.41333
Aug1955,-0.27213,-0.19591,0.06131,-0.50391,-1.006,-1.02907,-0.8779,-0.71803,-0.8022,-0.98885,-1.51077,-1.5705,-1.50594,-1.27628,-1.05849,-0.83438,-0.8322,-0.4176,-0.43773,-0.48167,-0.1311,-0.33553,-0.20481,-0.34813,-0.44276,-0.40281,0.18149,-0.18472,-0.26522,-0.31736,-0.39114,-0.4914,-0.56055,-0.64856,-0.82581,-0.84311,-0.75864,-0.59709,-0.75071,-0.8213,-0.83081,-0.75688,-0.82615,-0.83386,-0.76089,-0.82659,-0.7295,-0.56028
Sep1955,-0.04677,-0.27423,-0.18899,0.00891,-0.49966,-0.99587,-1.02217,-0.84285,-0.69087,-0.77652,-0.97855,-1.5384,-1.61802,-1.53184,-1.29516,-1.06605,-0.83095,-0.8377,-0.42946,-0.45457,-0.50192,-0.15166,-0.35162,-0.21692,-0.35464,-0.45202,-0.40935,0.16676,-0.1928,-0.27516,-0.33192,-0.40762,-0.50667,-0.57177,-0.65821,-0.82677,-0.84213,-0.75753,-0.59828,-0.74722,-0.82061,-0.82874,-0.75724,-0.82624,-0.83271,-0.7611,-0.82738,-0.73024
