DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jun1990,0.72975,0.84506,0.61901,0.09793,-0.48884,-0.56643,-0.68194,-0.13844,-0.72822,-0.73471,-0.76438,-0.79944,-0.89981,-0.99391,-0.84985,-0.86211,-0.68108,-0.73976,-0.84968,-0.871,-0.67498,-0.93772,-1.05565,-1.03625,-0.51164,-0.53343,0.05015,-0.09234,-0.20278,-0.00477,0.09497,0.20053,0.36955,0.17326,0.00521,0.11209,-0.04945,-0.01636,-0.14021,-0.22449,-0.19751,-0.02098,-0.05017,-0.04729,0.17145,0.38631,0.32835,0.32438
Jul1990,-0.69122,0.26473,0.53295,0.35882,-0.11642,-0.65035,-0.70557,-0.79473,-0.28638,-0.8074,-0.79182,-0.82319,-0.85831,-0.94233,-1.02837,-0.88501,-0.89904,-0.72796,-0.78097,-0.88336,-0.90543,-0.73029,-0.97529,-1.08006,-1.06041,-0.56277,-0.57917,-0.02867,-0.16029,-0.26742,-0.0815,0.02173,0.12604,0.28689,0.0957,-0.06497,0.04156,-0.1094,-0.07632,-0.19399,-0.27262,-0.24685,-0.0734,-0.10187,-0.09669,0.11541,0.32861,0.27181
Aug1990,-0.23258,-0.62418,-0.03884,0.27555,0.12811,-0.24806,-0.70519,-0.73862,-0.80366,-0.34477,-0.82213,-0.81847,-0.84324,-0.87244,-0.94687,-1.03155,-0.90274,-0.91069,-0.74591,-0.7981,-0.89434,-0.91452,-0.75533,-0.98437,-1.08125,-1.06097,-0.58337,-0.60009,-0.07624,-0.20025,-0.30541,-0.12782,-0.01992,0.08021,0.23967,0.05495,-0.10132,0.00095,-0.13898,-0.10932,-0.22009,-0.29693,-0.27291,-0.10422,-0.13326,-0.12596,0.07865,0.29017
Sep1990,0.70993,0.36835,0.05749,0.33101,0.53864,0.38914,0.05779,-0.37532,-0.43054,-0.5243,-0.09686,-0.55958,-0.58419,-0.62778,-0.66361,-0.75888,-0.85739,-0.73299,-0.74849,-0.5881,-0.65147,-0.76143,-0.78135,-0.59941,-0.83715,-0.95537,-0.9383,-0.44571,-0.46645,0.04338,-0.08426,-0.18933,-0.02106,0.0812,0.16957,0.324,0.15157,0.00188,0.09853,-0.03763,-0.00731,-0.11643,-0.19441,-0.17043,-0.00867,-0.03865,-0.03473,0.15963
Oct1990,0.76895,0.81934,0.66495,0.42942,0.5704,0.69195,0.56701,0.26582,-0.1154,-0.18531,-0.30512,0.08729,-0.3089,-0.34633,-0.4121,-0.45428,-0.56444,-0.66646,-0.55014,-0.56269,-0.41502,-0.49082,-0.59834,-0.61648,-0.43685,-0.65338,-0.7827,-0.77593,-0.31783,-0.34485,0.13906,0.01759,-0.07763,0.08154,0.16187,0.24388,0.39823,0.22969,0.07927,0.16851,0.03503,0.06501,-0.04188,-0.11836,-0.09337,0.05804,0.02732,0.03256
Nov1990,-0.31205,0.34765,0.59169,0.4106,0.21041,0.38684,0.54069,0.42522,0.13377,-0.24707,-0.30818,-0.41155,-0.01494,-0.4152,-0.44587,-0.50231,-0.54133,-0.65454,-0.75767,-0.64474,-0.66089,-0.51808,-0.58993,-0.69272,-0.70662,-0.52625,-0.73715,-0.85999,-0.85144,-0.39273,-0.41438,0.0772,-0.04406,-0.14134,0.01833,0.0947,0.17797,0.33288,0.16461,0.01532,0.10932,-0.02759,0.00234,-0.10484,-0.17993,-0.15613,-0.00275,-0.03761
Dec1990,-0.19725,-0.66335,0.15331,0.45692,0.26389,0.0734,0.27561,0.45093,0.34681,0.05061,-0.33358,-0.37745,-0.46853,-0.06739,-0.48363,-0.50433,-0.55044,-0.58961,-0.70594,-0.80445,-0.68811,-0.69676,-0.55222,-0.62118,-0.72222,-0.73729,-0.5616,-0.77251,-0.88914,-0.88185,-0.42995,-0.45107,0.03351,-0.08048,-0.17883,-0.01769,0.05947,0.14604,0.29507,0.12845,-0.01812,0.07396,-0.05909,-0.02787,-0.13331,-0.20817,-0.18449,-0.03266
Jan1991,-0.61957,-0.56256,-0.84318,-0.13371,0.17866,0.01881,-0.13537,0.06697,0.24912,0.16078,-0.10808,-0.46622,-0.50217,-0.56953,-0.18495,-0.58749,-0.60914,-0.65071,-0.689,-0.79675,-0.89886,-0.78102,-0.79403,-0.6553,-0.72419,-0.82895,-0.83304,-0.66808,-0.88293,-1.00111,-0.99409,-0.53559,-0.55386,-0.0582,-0.16788,-0.26755,-0.10305,-0.02468,0.06826,0.21488,0.04043,-0.10975,-0.01503,-0.14969,-0.11678,-0.22395,-0.29866,-0.27447
Feb1991,1.58638,0.77031,0.33738,0.03394,0.4119,0.62655,0.46463,0.30404,0.42479,0.54677,0.45414,0.17414,-0.17101,-0.22124,-0.31235,0.05942,-0.30234,-0.34725,-0.41084,-0.45479,-0.58055,-0.68793,-0.57772,-0.59536,-0.45917,-0.53128,-0.64219,-0.64959,-0.47218,-0.68939,-0.81923,-0.81458,-0.3586,-0.38042,0.11213,1e-05,-0.098,0.06133,0.13403,0.21839,0.36045,0.19148,0.04009,0.13021,-0.01164,0.01723,-0.0874,-0.16343
Mar1991,0.70368,1.21326,0.78767,0.46128,0.23642,0.51027,0.70222,0.55233,0.40054,0.52958,0.65743,0.56594,0.29229,-0.05064,-0.11236,-0.22409,0.14479,-0.19702,-0.22163,-0.29401,-0.34789,-0.47121,-0.57832,-0.46232,-0.48606,-0.34947,-0.42868,-0.55042,-0.55941,-0.37906,-0.6004,-0.73076,-0.72532,-0.2699,-0.29019,0.19703,0.0852,-0.01025,0.14345,0.21016,0.28794,0.42694,0.26323,0.11394,0.20181,0.05672,0.08513,-0.02151
